# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL NCX:RYR2 (within-sample cell dispersion for Fig 2B overlay; NOT donor-level error; RYR2>0 cells)
group,ncx_over_ryr2
fetal_SAN_pace,2.6875
fetal_SAN_pace,1.7424
fetal_SAN_pace,3.125
fetal_SAN_pace,2.7308
fetal_SAN_pace,2.8462
fetal_SAN_pace,2.1667
fetal_SAN_pace,4.551
fetal_SAN_pace,1.7167
fetal_SAN_pace,1.8529
fetal_SAN_pace,1.2687
fetal_SAN_pace,9.8889
fetal_SAN_pace,4.45
fetal_SAN_pace,2.45
fetal_SAN_pace,1.2537
fetal_SAN_pace,0.4138
fetal_SAN_pace,1.9231
fetal_SAN_pace,2.9286
fetal_SAN_pace,2.1176
fetal_SAN_pace,2.9254
fetal_SAN_pace,2.3125
fetal_SAN_pace,0.661
fetal_SAN_pace,4.375
fetal_SAN_pace,3.0
fetal_SAN_pace,2.7667
fetal_SAN_pace,1.2586
fetal_SAN_pace,1.625
fetal_SAN_pace,0.8718
fetal_SAN_pace,1.7273
fetal_SAN_pace,1.0526
fetal_SAN_pace,2.875
fetal_SAN_pace,1.7833
fetal_SAN_pace,1.2821
fetal_SAN_pace,2.8
fetal_SAN_pace,1.3333
fetal_SAN_pace,3.8437
fetal_SAN_pace,1.3382
fetal_SAN_pace,2.2222
fetal_SAN_pace,1.0857
fetal_SAN_pace,1.2273
fetal_SAN_pace,1.8444
fetal_SAN_pace,2.8667
fetal_SAN_pace,2.2667
fetal_SAN_pace,1.2
fetal_SAN_pace,1.0806
fetal_SAN_pace,1.1042
fetal_SAN_pace,4.1429
fetal_SAN_pace,2.3125
fetal_SAN_pace,1.8269
fetal_SAN_pace,1.92
fetal_SAN_pace,3.4286
fetal_SAN_pace,3.8
fetal_SAN_pace,1.1268
fetal_SAN_pace,1.2045
fetal_SAN_pace,1.992
fetal_SAN_pace,1.2551
fetal_SAN_pace,0.9677
fetal_SAN_pace,1.7105
fetal_SAN_pace,2.625
fetal_SAN_pace,1.2727
fetal_SAN_pace,2.3333
fetal_SAN_pace,1.8961
fetal_SAN_pace,4.5417
fetal_SAN_pace,1.8542
fetal_SAN_pace,3.8824
fetal_SAN_pace,1.4314
fetal_SAN_pace,1.9143
fetal_SAN_pace,1.4118
fetal_SAN_pace,3.6176
fetal_SAN_pace,4.2857
fetal_SAN_pace,2.5645
fetal_SAN_pace,3.32
fetal_SAN_pace,1.413
fetal_SAN_pace,2.8889
fetal_SAN_pace,1.0
fetal_SAN_pace,2.4615
fetal_SAN_pace,1.5128
fetal_SAN_pace,3.4194
fetal_SAN_pace,1.4706
fetal_SAN_pace,2.8864
fetal_SAN_pace,1.2162
fetal_SAN_pace,1.6438
fetal_SAN_pace,2.6
fetal_SAN_pace,3.8955
fetal_SAN_pace,2.2679
fetal_SAN_pace,0.3469
fetal_SAN_pace,4.5957
fetal_SAN_pace,1.725
fetal_SAN_pace,1.35
fetal_SAN_pace,1.7879
fetal_SAN_pace,3.4074
fetal_SAN_pace,2.2353
fetal_SAN_pace,1.55
fetal_SAN_pace,1.3391
fetal_SAN_pace,1.1711
fetal_SAN_pace,1.7179
fetal_SAN_pace,1.6
fetal_SAN_pace,2.381
fetal_SAN_pace,1.7143
fetal_SAN_pace,1.2381
fetal_SAN_pace,0.6374
fetal_SAN_pace,1.4167
fetal_SAN_pace,0.6286
fetal_SAN_pace,1.8889
fetal_SAN_pace,5.9524
fetal_SAN_pace,2.3163
fetal_SAN_pace,0.9398
fetal_SAN_pace,4.2903
fetal_SAN_pace,0.6765
fetal_SAN_pace,2.1754
fetal_SAN_pace,3.6667
fetal_SAN_pace,9.0625
fetal_SAN_pace,1.5405
fetal_SAN_pace,5.1538
fetal_SAN_pace,2.9706
fetal_SAN_pace,3.561
fetal_SAN_pace,1.3333
fetal_SAN_pace,2.5106
fetal_SAN_pace,4.22
fetal_SAN_pace,2.4815
fetal_SAN_pace,3.0238
fetal_SAN_pace,1.0
fetal_SAN_pace,1.2466
fetal_SAN_pace,1.2941
fetal_SAN_pace,1.4
fetal_SAN_pace,4.0962
fetal_SAN_pace,3.0112
fetal_SAN_pace,2.2667
fetal_SAN_pace,2.6765
fetal_SAN_pace,2.0625
fetal_SAN_pace,2.5556
fetal_SAN_pace,1.5132
fetal_SAN_pace,6.5714
fetal_SAN_pace,3.0294
fetal_SAN_pace,2.5909
fetal_SAN_pace,2.7681
fetal_SAN_pace,1.6849
fetal_SAN_pace,2.1429
fetal_SAN_pace,1.1831
fetal_SAN_pace,1.9
fetal_SAN_pace,2.6628
fetal_SAN_pace,3.5135
fetal_SAN_pace,2.2059
fetal_SAN_pace,2.25
fetal_SAN_pace,10.6111
fetal_SAN_pace,4.1471
fetal_SAN_pace,2.5472
fetal_SAN_pace,6.0263
fetal_SAN_pace,1.75
fetal_SAN_pace,1.9565
fetal_SAN_pace,2.9167
fetal_SAN_pace,3.0588
fetal_SAN_pace,3.3871
fetal_SAN_pace,3.0
fetal_SAN_pace,0.3289
fetal_SAN_pace,1.4286
fetal_SAN_pace,2.7143
fetal_SAN_pace,2.5319
fetal_SAN_pace,1.1818
fetal_SAN_pace,2.7941
fetal_SAN_pace,1.931
fetal_SAN_pace,2.3023
fetal_SAN_pace,1.0
fetal_SAN_pace,1.7465
fetal_SAN_pace,2.8235
fetal_SAN_pace,3.15
fetal_SAN_pace,4.3103
fetal_SAN_pace,2.15
fetal_SAN_pace,2.3333
fetal_SAN_pace,3.9231
fetal_SAN_pace,3.9
fetal_SAN_pace,2.0714
fetal_SAN_pace,2.0
fetal_SAN_pace,3.3913
fetal_SAN_pace,4.3871
fetal_SAN_pace,4.3437
fetal_SAN_pace,1.5108
fetal_SAN_pace,1.8289
fetal_SAN_pace,1.0638
fetal_SAN_pace,1.8636
fetal_SAN_pace,1.3667
fetal_SAN_pace,1.8649
fetal_SAN_pace,2.5227
fetal_SAN_pace,1.3902
fetal_SAN_pace,2.3571
fetal_SAN_pace,2.0
fetal_SAN_pace,1.7843
fetal_SAN_pace,1.0
fetal_SAN_pace,3.0811
fetal_SAN_pace,1.1522
fetal_SAN_pace,3.8438
