# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: datasets & cell-types used by node_channel_handling_expression; counts live from objects, provenance from DATA_SOURCES.md
group,group_label,dataset,object_file,selector,platform_used,n_cells
fetal_SAN_pace,Fetal SAN pacemaker,Lim/Protze (fetal SAN),lim2024_fetal_san_qc.h5ad,cell_type == pacemaker_CM,10x snRNA (single-nucleus),762
fetal_SAN_work,Fetal SAN working,Lim/Protze (fetal SAN),lim2024_fetal_san_qc.h5ad,cell_type == working_CM,10x snRNA (single-nucleus),2192
fetal_AVN_pace,Fetal AVN pacemaker,Lim/Protze (fetal AVN),lim2024_fetal_avn_qc.h5ad,cell_type == pacemaker_CM,10x snRNA (single-nucleus),1217
fetal_AVN_work,Fetal AVN working,Lim/Protze (fetal AVN),lim2024_fetal_avn_qc.h5ad,cell_type == working_CM,10x snRNA (single-nucleus),5730
adult_SAN_pace,Adult SAN pacemaker,Kanemaru 2023 (adult conduction),kanemaru_conduction_qc.h5ad,"cell_state == SAN_P_cell, modality == Multiome-RNA","Multiome-RNA single nuclei ONLY: SAN_P/AVN_P pacemaker states are 100% Multiome (SAN/AVN regions sequenced only by Multiome); vCM RESTRICTED to Multiome AND to true ventricular regions (LV/RV/SP/AX), excluding AVN-dissected working CMs that are also labelled vCM",490
adult_SAN_work,Adult SAN working,Kanemaru 2023 (adult conduction),kanemaru_conduction_qc.h5ad,"working CM (vCM*/aCM*), region == SAN, modality == Multiome-RNA","Multiome-RNA single nuclei ONLY: SAN_P/AVN_P pacemaker states are 100% Multiome (SAN/AVN regions sequenced only by Multiome); vCM RESTRICTED to Multiome AND to true ventricular regions (LV/RV/SP/AX), excluding AVN-dissected working CMs that are also labelled vCM",19190
adult_AVN_pace,Adult AVN pacemaker,Kanemaru 2023 (adult conduction),kanemaru_conduction_qc.h5ad,"cell_state == AVN_P_cell, modality == Multiome-RNA","Multiome-RNA single nuclei ONLY: SAN_P/AVN_P pacemaker states are 100% Multiome (SAN/AVN regions sequenced only by Multiome); vCM RESTRICTED to Multiome AND to true ventricular regions (LV/RV/SP/AX), excluding AVN-dissected working CMs that are also labelled vCM",310
adult_AVN_work,Adult AVN working,Kanemaru 2023 (adult conduction),kanemaru_conduction_qc.h5ad,"working CM (vCM*/aCM*), region == AVN, modality == Multiome-RNA","Multiome-RNA single nuclei ONLY: SAN_P/AVN_P pacemaker states are 100% Multiome (SAN/AVN regions sequenced only by Multiome); vCM RESTRICTED to Multiome AND to true ventricular regions (LV/RV/SP/AX), excluding AVN-dissected working CMs that are also labelled vCM",14507
adult_vCM,Adult vCM (bulk vent.),Kanemaru 2023 (adult conduction),kanemaru_conduction_qc.h5ad,"cell_state startswith vCM, region in {LV,RV,SP,AX}, modality == Multiome-RNA","Multiome-RNA single nuclei ONLY: SAN_P/AVN_P pacemaker states are 100% Multiome (SAN/AVN regions sequenced only by Multiome); vCM RESTRICTED to Multiome AND to true ventricular regions (LV/RV/SP/AX), excluding AVN-dissected working CMs that are also labelled vCM",32747
sim_fetal_CM,Sim fetal CM,Sim 2021 (dev ladder),sim2021_qc.h5ad,cat == CM & stage_bin == fetal,"10x snRNA (single-nucleus); whole-CM, no nodal split",19464
sim_child_CM,Sim child CM,Sim 2021 (dev ladder),sim2021_qc.h5ad,cat == CM & stage_bin == child,"10x snRNA (single-nucleus); whole-CM, no nodal split",5420
sim_adult_CM,Sim adult CM,Sim 2021 (dev ladder),sim2021_qc.h5ad,cat == CM & stage_bin == adult,"10x snRNA (single-nucleus); whole-CM, no nodal split",2599
