# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: PER-CELL surface-accessible Ca fraction (within-sample cell dispersion for Fig 2A overlay; NOT donor-level error)
group,surface_frac
fetal_SAN_pace,0.7197
fetal_SAN_pace,0.6068
fetal_SAN_pace,0.7747
fetal_SAN_pace,0.7477
fetal_SAN_pace,0.7086
fetal_SAN_pace,0.691
fetal_SAN_pace,0.7859
fetal_SAN_pace,0.6869
fetal_SAN_pace,0.6929
fetal_SAN_pace,0.6072
fetal_SAN_pace,0.796
fetal_SAN_pace,0.7674
fetal_SAN_pace,0.7486
fetal_SAN_pace,0.565
fetal_SAN_pace,0.4567
fetal_SAN_pace,0.6771
fetal_SAN_pace,0.7376
fetal_SAN_pace,0.7018
fetal_SAN_pace,0.7292
fetal_SAN_pace,0.6834
fetal_SAN_pace,0.5417
fetal_SAN_pace,0.7667
fetal_SAN_pace,0.7626
fetal_SAN_pace,0.75
fetal_SAN_pace,0.6101
fetal_SAN_pace,0.6199
fetal_SAN_pace,0.5556
fetal_SAN_pace,0.6834
fetal_SAN_pace,0.5844
fetal_SAN_pace,0.715
fetal_SAN_pace,0.6696
fetal_SAN_pace,0.6364
fetal_SAN_pace,0.7143
fetal_SAN_pace,0.5894
fetal_SAN_pace,0.7538
fetal_SAN_pace,0.6182
fetal_SAN_pace,0.7183
fetal_SAN_pace,0.5165
fetal_SAN_pace,0.5778
fetal_SAN_pace,0.6834
fetal_SAN_pace,0.7583
fetal_SAN_pace,0.6839
fetal_SAN_pace,0.5521
fetal_SAN_pace,0.602
fetal_SAN_pace,0.5581
fetal_SAN_pace,0.7185
fetal_SAN_pace,0.6765
fetal_SAN_pace,0.6263
fetal_SAN_pace,0.6743
fetal_SAN_pace,0.7565
fetal_SAN_pace,0.7924
fetal_SAN_pace,0.567
fetal_SAN_pace,0.7076
fetal_SAN_pace,0.645
fetal_SAN_pace,0.6221
fetal_SAN_pace,0.553
fetal_SAN_pace,0.6714
fetal_SAN_pace,0.6324
fetal_SAN_pace,0.6242
fetal_SAN_pace,0.7692
fetal_SAN_pace,0.6716
fetal_SAN_pace,0.8249
fetal_SAN_pace,0.6754
fetal_SAN_pace,0.7887
fetal_SAN_pace,0.6278
fetal_SAN_pace,0.6434
fetal_SAN_pace,0.671
fetal_SAN_pace,0.7745
fetal_SAN_pace,0.7933
fetal_SAN_pace,0.6961
fetal_SAN_pace,0.7324
fetal_SAN_pace,0.6028
fetal_SAN_pace,0.7536
fetal_SAN_pace,0.5636
fetal_SAN_pace,0.733
fetal_SAN_pace,0.7089
fetal_SAN_pace,0.7469
fetal_SAN_pace,0.7114
fetal_SAN_pace,0.7014
fetal_SAN_pace,0.5161
fetal_SAN_pace,0.646
fetal_SAN_pace,0.7251
fetal_SAN_pace,0.7423
fetal_SAN_pace,0.6429
fetal_SAN_pace,0.3922
fetal_SAN_pace,0.8116
fetal_SAN_pace,0.6409
fetal_SAN_pace,0.6127
fetal_SAN_pace,0.5957
fetal_SAN_pace,0.7829
fetal_SAN_pace,0.6255
fetal_SAN_pace,0.6154
fetal_SAN_pace,0.5951
fetal_SAN_pace,0.6336
fetal_SAN_pace,0.6832
fetal_SAN_pace,0.6105
fetal_SAN_pace,0.6705
fetal_SAN_pace,0.7458
fetal_SAN_pace,0.6974
fetal_SAN_pace,0.4739
fetal_SAN_pace,0.6069
fetal_SAN_pace,0.475
fetal_SAN_pace,0.6689
fetal_SAN_pace,0.8081
fetal_SAN_pace,0.687
fetal_SAN_pace,0.564
fetal_SAN_pace,0.789
fetal_SAN_pace,0.5
fetal_SAN_pace,0.6667
fetal_SAN_pace,0.5714
fetal_SAN_pace,0.8824
fetal_SAN_pace,0.6795
fetal_SAN_pace,0.8018
fetal_SAN_pace,0.753
fetal_SAN_pace,0.7677
fetal_SAN_pace,0.5812
fetal_SAN_pace,0.7064
fetal_SAN_pace,0.7919
fetal_SAN_pace,0.75
fetal_SAN_pace,0.7172
fetal_SAN_pace,0.5508
fetal_SAN_pace,0.6221
fetal_SAN_pace,0.6419
fetal_SAN_pace,0.5197
fetal_SAN_pace,0.7704
fetal_SAN_pace,0.7428
fetal_SAN_pace,0.6628
fetal_SAN_pace,0.7128
fetal_SAN_pace,0.7089
fetal_SAN_pace,0.7419
fetal_SAN_pace,0.5985
