# version: CHB v1 (standalone) | generated: 2026-06-17 | seed: 42 | input: Ca-machinery expression by subcellular accessibility (surface=antibody-accessible vs intracellular SR/ER) per conduction group; linear scale
group,gene,access,compartment,expr,subtype
fetal_AVN_pace,STIM2,INTRACELLULAR,ER,0.8122,
fetal_AVN_pace,TRPM4,MIXED,PM+ER,0.26,
fetal_AVN_pace,TRPM7,SURFACE,plasma_membrane,3.2092,
fetal_AVN_pace,TRPC1,SURFACE,plasma_membrane,1.8682,
fetal_AVN_pace,TRPC3,SURFACE,plasma_membrane,0.3457,
fetal_AVN_pace,TRPC6,SURFACE,plasma_membrane,0.0657,
fetal_AVN_pace,RYR2,INTRACELLULAR,SR,31.0468,
fetal_AVN_pace,RYR3,INTRACELLULAR,SR,0.9298,
fetal_AVN_pace,ITPR1,INTRACELLULAR,ER,1.781,
fetal_AVN_pace,ITPR2,INTRACELLULAR,ER,2.1073,
fetal_AVN_pace,ITPR3,INTRACELLULAR,ER,0.0039,
fetal_AVN_pace,ATP2A2,INTRACELLULAR,SR,5.6248,
fetal_AVN_pace,ATP2A1,INTRACELLULAR,SR,0.077,
fetal_AVN_pace,TMEM38A,INTRACELLULAR,SR,0.1206,
fetal_AVN_pace,TMEM38B,INTRACELLULAR,ER,0.341,
fetal_AVN_work,CACNA1C,SURFACE,sarcolemma,70.9296,L-type
fetal_AVN_work,CACNA1D,SURFACE,sarcolemma,0.3388,L-type
fetal_AVN_work,CACNA1G,SURFACE,sarcolemma,0.1392,T-type
fetal_AVN_work,CACNA1H,SURFACE,sarcolemma,0.0007,T-type
fetal_AVN_work,CACNA1I,SURFACE,sarcolemma,0.0026,T-type
fetal_AVN_work,CACNA1A,SURFACE,sarcolemma,0.0366,PQ-type
fetal_AVN_work,CACNA1B,SURFACE,sarcolemma,0.0717,N-type
fetal_AVN_work,CACNA1E,SURFACE,sarcolemma,0.0087,R-type
fetal_AVN_work,CACNA1S,SURFACE,sarcolemma,0.0011,L-type
fetal_AVN_work,SLC8A1,SURFACE,sarcolemma,208.4981,
fetal_AVN_work,ORAI1,SURFACE,plasma_membrane,0.0567,
fetal_AVN_work,ORAI2,SURFACE,plasma_membrane,0.0518,
fetal_AVN_work,ORAI3,SURFACE,plasma_membrane,0.0218,
fetal_AVN_work,STIM1,MIXED,PM+ER,0.5773,
fetal_AVN_work,STIM2,INTRACELLULAR,ER,0.5014,
fetal_AVN_work,TRPM4,MIXED,PM+ER,0.4039,
fetal_AVN_work,TRPM7,SURFACE,plasma_membrane,3.5817,
fetal_AVN_work,TRPC1,SURFACE,plasma_membrane,1.3493,
fetal_AVN_work,TRPC3,SURFACE,plasma_membrane,0.3791,
fetal_AVN_work,TRPC6,SURFACE,plasma_membrane,0.0619,
fetal_AVN_work,RYR2,INTRACELLULAR,SR,72.091,
fetal_AVN_work,RYR3,INTRACELLULAR,SR,0.735,
fetal_AVN_work,ITPR1,INTRACELLULAR,ER,0.2509,
fetal_AVN_work,ITPR2,INTRACELLULAR,ER,1.3858,
fetal_AVN_work,ITPR3,INTRACELLULAR,ER,0.0203,
fetal_AVN_work,ATP2A2,INTRACELLULAR,SR,5.6051,
fetal_AVN_work,ATP2A1,INTRACELLULAR,SR,0.1259,
fetal_AVN_work,TMEM38A,INTRACELLULAR,SR,0.219,
fetal_AVN_work,TMEM38B,INTRACELLULAR,ER,0.7854,
adult_SAN_pace,CACNA1C,SURFACE,sarcolemma,40.7932,L-type
adult_SAN_pace,CACNA1D,SURFACE,sarcolemma,19.0103,L-type
adult_SAN_pace,CACNA1G,SURFACE,sarcolemma,0.4656,T-type
adult_SAN_pace,CACNA1H,SURFACE,sarcolemma,0.0124,T-type
adult_SAN_pace,CACNA1I,SURFACE,sarcolemma,0.002,T-type
adult_SAN_pace,CACNA1A,SURFACE,sarcolemma,0.067,PQ-type
adult_SAN_pace,CACNA1B,SURFACE,sarcolemma,0.1263,N-type
adult_SAN_pace,CACNA1E,SURFACE,sarcolemma,0.5302,R-type
adult_SAN_pace,CACNA1S,SURFACE,sarcolemma,0.002,L-type
adult_SAN_pace,SLC8A1,SURFACE,sarcolemma,59.4554,
adult_SAN_pace,ORAI1,SURFACE,plasma_membrane,0.0269,
adult_SAN_pace,ORAI2,SURFACE,plasma_membrane,0.0421,
adult_SAN_pace,ORAI3,SURFACE,plasma_membrane,0.037,
adult_SAN_pace,STIM1,MIXED,PM+ER,0.3833,
adult_SAN_pace,STIM2,INTRACELLULAR,ER,1.3463,
adult_SAN_pace,TRPM4,MIXED,PM+ER,0.5079,
adult_SAN_pace,TRPM7,SURFACE,plasma_membrane,5.7606,
adult_SAN_pace,TRPC1,SURFACE,plasma_membrane,1.8031,
adult_SAN_pace,TRPC3,SURFACE,plasma_membrane,0.011,
adult_SAN_pace,TRPC6,SURFACE,plasma_membrane,0.0644,
adult_SAN_pace,RYR2,INTRACELLULAR,SR,124.9851,
adult_SAN_pace,RYR3,INTRACELLULAR,SR,0.0899,
adult_SAN_pace,ITPR1,INTRACELLULAR,ER,1.2588,
adult_SAN_pace,ITPR2,INTRACELLULAR,ER,3.1404,
adult_SAN_pace,ITPR3,INTRACELLULAR,ER,0.0244,
adult_SAN_pace,ATP2A2,INTRACELLULAR,SR,13.746,
adult_SAN_pace,ATP2A1,INTRACELLULAR,SR,0.0543,
adult_SAN_pace,TMEM38A,INTRACELLULAR,SR,0.2804,
adult_SAN_pace,TMEM38B,INTRACELLULAR,ER,1.0854,
adult_SAN_work,CACNA1C,SURFACE,sarcolemma,53.4232,L-type
adult_SAN_work,CACNA1D,SURFACE,sarcolemma,1.5573,L-type
adult_SAN_work,CACNA1G,SURFACE,sarcolemma,0.1545,T-type
adult_SAN_work,CACNA1H,SURFACE,sarcolemma,0.0267,T-type
adult_SAN_work,CACNA1I,SURFACE,sarcolemma,0.003,T-type
adult_SAN_work,CACNA1A,SURFACE,sarcolemma,0.0443,PQ-type
adult_SAN_work,CACNA1B,SURFACE,sarcolemma,0.0571,N-type
adult_SAN_work,CACNA1E,SURFACE,sarcolemma,0.2835,R-type
adult_SAN_work,CACNA1S,SURFACE,sarcolemma,0.0042,L-type
adult_SAN_work,SLC8A1,SURFACE,sarcolemma,48.8335,
adult_SAN_work,ORAI1,SURFACE,plasma_membrane,0.0103,
